Designator,Mid X,Mid Y,Rotation,Layer
SW30,276.125,-56.392893,180.0,bottom
SW31,276.125,-75.442893,180.0,bottom
SW32,276.125,-94.492893,180.0,bottom
SW33,257.075,-65.917893,180.0,bottom
SW34,257.075,-84.967893,180.0,bottom
SW35,257.075,-104.017893,180.0,bottom
SW36,238.025,-70.680393,180.0,bottom
SW37,238.025,-89.730393,180.0,bottom
SW38,238.025,-108.780393,180.0,bottom
SW39,241.19502,-144.970516,180.0,bottom
SW4,97.798803,-108.557356,180.0,bottom
SW40,241.19502,-173.545516,90.0,bottom
SW41,260.24502,-173.545516,90.0,bottom
SW42,222.14502,-144.970516,180.0,bottom
SW43,222.14502,-164.020516,180.0,bottom
SW44,222.14502,-183.070516,180.0,bottom
SW5,116.848803,-60.932356,180.0,bottom
SW6,116.848803,-79.982356,180.0,bottom
SW7,116.848803,-99.032356,180.0,bottom
SW8,135.898803,-56.169856,180.0,bottom
SW9,135.898803,-75.219856,180.0,bottom
TP1,161.296553,-99.933737,0.0,bottom
TP2,245.75,-100.25,0.0,bottom
U1,184.696553,-101.508737,90.0,bottom
U2,175.121553,-101.946237,270.0,bottom
U3,167.709053,-105.733737,180.0,bottom
U4,223.025,-101.85,0.0,bottom
U5,233.175,-106.1125,180.0,bottom
U6,229.95,-84.125,270.0,bottom
X1,193.696553,-106.758737,90.0,bottom
X2,228.75,-101.425,90.0,bottom
Y1,192.996553,-95.533737,180.0,bottom
Y2,221.7,-91.625,180.0,bottom
